ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
4853,Domlur,Bangalore,Venus Biryani,200.0,4.1,500,Biryani,3Rd Cross,49.0
4956,Andheri East,Mumbai,Rj Spice,450.0,4.1,20,Chinese  Thai  Fast Food,Jb Nagar  Andheri East,55.0
5107,Agarkar Nagar,Pune,Blue Nile,1000.0,,1000,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road,31.0
5119,Koregaon Park,Pune,Arthur'S Theme,800.0,4.3,100,"Italian,European",Lane No 6 Opp Cosmos Bank Kp,56.0
5120,Mundhwa,Pune,Carnival Restaurant & Bar,1000.0,4.2,100,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp,
5139,Shivajinagar,Pune,Smokin' Joe'S,400.0,10.768642385725808,50,"American,Fast Food",Jm Road,35.0
5150,Mohammed Wadi,Pune,Chai - The Way You Like It,,4.0,50,,Salunkhe Vihar Road,73.0
5157,Shivajinagar,Pune,Mainland China,850.0,4.4,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,53.0
5172,Bandra Area,Mumbai,Theobroma,800.0,4.7,500,"Desserts,Bakery,Beverages",Bandra Area,40.0
5208,Paschim Vihar,Delhi,Deli 63,400.0,2.9,80,,Punjabi Bagh,60.0
5221,Malleshwaram,Bangalore,Food Paradise,326.0,3.9,100,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,53.0
5247,Ashok Nagar,Bangalore,Corner House Ice Cream,250.0,4.7,1000,"Ice Cream,Desserts",Residency Road,31.0
5251,Kalighat,Kolkata,Bachan'S Dhaba,250.0,4.3,5000,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue,61.0
5255,Ballygunge,Kolkata,Mainland China,850.0,2.2662805319237815,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,64.0
5285,Lakdikapul,Hyderabad,Chicha'S,200.0,,500,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,40.0
5297,Deccan Gymkhana,Pune,Le Plaisir,1000.0,,500,"Italian,Continental,European,Desserts",Prabhat Road Deccan,40.0
5370,Deccan Gymkhana,Pune,Cafe Goodluck,200.0,4.4,100,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar,
5408,Camp,Pune,George Restaurant,600.0,4.3,1000,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street,33.0
5496,Camp,Pune,Marzorin,200.0,4.4,1000,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road,33.0
